question,a,b,c,d,answer,
What is the range of short data type in Java?,-128 to 127,-32768 to 32767,-2147483648 to 2147483647,None of the mentioned,b,
What is the range of byte data type in Java?,-128 to 127,-32768 to 32767,-2147483648 to 2147483647,None of the mentioned,a,
"Which of the following are legal lines of Java code?

   1. int w = (int)888.8;
   2. byte x = (byte)100L;
   3. long y = (byte)100;
   4. byte z = (byte)100L;
",1 and 2,2 and 3,3 and 4,All statement are correct,d,
"An expression involving byte, int, and literal numbers is promoted to which of these?",int,long,byte,float,a,
Which of these literals can be contained in float data type variable?,-1.7e+308,-3.40E+38,+1.7e+308,-3.40E+50,b,
 Which data type value is returned by all transcendental math functions?,int,long,double,float,c,
,,,,,,
"What will be the output of the following Java code?

    class average {
        public static void main(String args[])
        {
            double num[] = {5.5, 10.1, 11, 12.8, 56.9, 2.5};
            double result;
            result = 0;
            for (int i = 0; i < 6; ++i) 
                result = result + num[i];
     System.out.print(result/6);
 
        } 
    }",16.34,16.56666664,16.46666667,16.46666667,c,
"What will be the output of the following Java statement?

class output {
        public static void main(String args[]) 
        {
            double a, b,c;
            a = 3.0/0;
            b = 0/4.0;
            c=0/0.0;
 
     System.out.println(a);
            System.out.println(b);
            System.out.println(c);
        } 
    }",Infinity,0.0 ,NaN,all of the mentioned,d,
"What will be the output of the following Java code?

    class increment {
        public static void main(String args[]) 
        {        
             int g = 3;
             System.out.print(++g * 8);
        } 
    }",25,24,32,33,c,
"What will be the output of the following Java code?

    class area {
        public static void main(String args[]) 
        {    
             double r, pi, a;
             r = 9.8;
             pi = 3.14;
             a = pi * r * r;
             System.out.println(a);
        } 
    }",301.5656,301,301.56,301.5656,a,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
